report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,solar,10:05,15:36,5.5167,5730.000,1234.000,6807.567,0.006807567,Due to heavy underdrawal and high frequency in system,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-22,wind,10:05,15:36,5.5167,5730.000,16.000,88.267,0.000088267,Due to heavy underdrawal and high frequency in system,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5; mixed-fuel row split by reported solar and wind curtailment MW.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,10:38,11:50,1.2000,5497.000,90.000,108.000,0.000108000,Due to overloading of ICT's at Bikaner,manual_from_scanned_pdf,medium,6,Source is image-only under pdftotext; values transcribed from rendered page 6.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,10:54,14:52,3.9667,6714.000,120.000,476.000,0.000476000,Due to overloading of ICT's at Bhadla,manual_from_scanned_pdf,medium,7,Source is image-only under pdftotext; values transcribed from rendered page 7.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-23,solar,11:50,14:52,3.0333,6958.000,130.000,394.333,0.000394333,Due to overloading of ICT's at Bikaner,manual_from_scanned_pdf,medium,8,Source is image-only under pdftotext; values transcribed from rendered page 8.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,10:50,12:23,1.5500,6898.000,100.000,155.000,0.000155000,Due to overloading of ICT's at Bikaner,manual_from_scanned_pdf,medium,9,Source is image-only under pdftotext; values transcribed from rendered page 9.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,11:08,15:00,3.8667,6983.000,135.000,522.000,0.000522000,Due to overloading of ICT's at 400 KV GSS Bhadla,manual_from_scanned_pdf,medium,10,Source is image-only under pdftotext; values transcribed from rendered page 10.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-24,solar,12:23,15:00,2.6167,6984.000,140.000,366.333,0.000366333,Due to overloading of ICT's at 400 KV GSS Bikaner,manual_from_scanned_pdf,medium,11,Source is image-only under pdftotext; values transcribed from rendered page 11.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,10:25,12:09,1.7333,6615.000,102.000,176.800,0.000176800,Due to overloading of ICT at 400 KV Bikaner,manual_from_scanned_pdf,medium,14,Source is image-only under pdftotext; values transcribed from rendered page 14.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,10:50,15:02,4.2000,7008.000,105.000,441.000,0.000441000,Due to overloading of ICT at 400 KV Bhadla,manual_from_scanned_pdf,medium,15,Source is image-only under pdftotext; values transcribed from rendered page 15.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
